172.22.155.120,5324,60.160.115.177,5350,其他UDP应用,2/0,88B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
172.22.156.6,24829,183.230.75.25,17788,其他UDP应用,4/0,528B/0B,2018-04-10 16:19:52,2018-04-10 16:20:51
172.22.155.251,26350,113.207.90.16,17788,其他UDP应用,1/0,132B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.68.170,62944,222.186.139.102,5152,其他UDP应用,1/0,44B/0B,2018-04-10 16:20:20,2018-04-10 16:20:51
192.168.64.3,60429,192.33.14.30,53,域名解析,1/1,91B/846B,2018-04-10 16:17:50,2018-04-10 16:20:51
218.194.104.13,10157,192.168.77.22,10103,360安全软件更新,379/1137,28.3KB/1.5MB,2018-04-10 16:14:51,2018-04-10 16:20:51
172.22.157.228,1486,60.181.9.109,15753,360安全软件更新,38/53,3.3KB/36.2KB,2018-04-10 16:14:50,2018-04-10 16:20:51
139.219.196.172,48760,172.22.148.6,53,域名解析,1/1,93B/205B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.64.3,30293,123.125.29.99,53,域名解析,1/1,91B/243B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.64.3,51436,101.226.220.13,53,域名解析,1/1,86B/158B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.68.38,6881,213.136.79.205,7191,BT,1/1,101B/91B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.75.6,27194,101.226.4.6,53,域名解析,1/1,69B/235B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.64.3,53670,125.39.237.31,53,域名解析,1/1,79B/346B,2018-04-10 16:17:50,2018-04-10 16:20:51
172.22.156.71,52280,114.114.114.114,53,域名解析,2/2,170B/298B,2018-04-10 16:17:50,2018-04-10 16:20:51
192.168.64.3,51375,106.11.41.151,53,域名解析,1/1,94B/110B,2018-04-10 16:17:50,2018-04-10 16:20:51
